出表日期,年度,季別,公司代號,公司名稱,產業別,基本每股盈餘,普通股每股面額,營業收入,營業利益,營業外收入及支出,稅後淨利
1111004,111,2,6112,邁達特數位股份有限公司,資訊服務業,0.97,10.0000,5836396.00,225278.00,6153.00,182437.00
1111004,111,2,6115,鎰勝工業股份有限公司,電子零組件業,1.89,10.0000,3682839.00,286196.00,204477.00,352106.00
1111004,111,2,6116,瀚宇彩晶股份有限公司,光電業,-0.14,10.0000,9448717.00,444307.00,-758893.00,-409572.00
1111004,111,2,6117,迎廣科技股份有限公司,電腦及週邊設備業,-0.05,10.0000,1220975.00,-37867.00,28109.00,-9353.00
1111004,111,2,6120,達運精密工業股份有限公司,光電業,-0.18,10.0000,8593047.00,-517371.00,475487.00,-123074.00
1111004,111,2,6128,上福全球科技股份有限公司,電腦及週邊設備業,1.96,10.0000,3035435.00,311279.00,14097.00,250142.00
1111004,111,2,6133,金橋科技股份有限公司,電子零組件業,0.16,10.0000,643507.00,3429.00,21205.00,19031.00
1111004,111,2,6136,富爾特科技股份有限公司,通信網路業,-0.06,10.0000,245612.00,-19875.00,14634.00,-6153.00
1111004,111,2,6139,亞翔工程股份有限公司,其他電子業,1.87,10.0000,15138804.00,729800.00,-40629.00,498509.00
1111004,111,2,6141,柏承科技股份有限公司,電子零組件業,0.07,10.0000,1826937.00,70124.00,-40066.00,8246.00
1111004,111,2,6142,友勁科技股份有限公司,通信網路業,-0.11,10.0000,1231944.00,-141166.00,109646.00,-34827.00
1111004,111,2,6152,百一電子股份有限公司,通信網路業,0.14,10.0000,1593484.00,-66613.00,93466.00,26853.00
1111004,111,2,6153,嘉聯益科技股份有限公司,電子零組件業,-0.49,10.0000,5638922.00,-493197.00,200180.00,-273705.00
1111004,111,2,6155,鈞寶電子工業股份有限公司,電子零組件業,1.16,10.0000,395438.00,45431.00,84768.00,100818.00
1111004,111,2,6164,華興電子工業股份有限公司,光電業,0.24,10.0000,476263.00,-22624.00,53243.00,25127.00
1111004,111,2,6165,浪凡網路科技股份有限公司,其他,0.43,10.0000,1427731.00,37699.00,15033.00,21838.00
1111004,111,2,6166,凌華科技股份有限公司,電腦及週邊設備業,2.25,10.0000,5369381.00,164977.00,399713.00,489101.00
1111004,111,2,6168,宏齊科技股份有限公司,光電業,1.11,10.0000,1418663.00,162105.00,132636.00,253120.00
1111004,111,2,6176,瑞儀光電股份有限公司,光電業,8.04,10.0000,25399785.00,2935954.00,2425726.00,3739903.00
1111004,111,2,6177,達麗建設事業股份有限公司,建材營造,2.36,10.0000,6897866.00,1107922.00,-1633.00,914028.00
1111004,111,2,6183,關貿網路股份有限公司,資訊服務業,1.91,10.0000,1148476.00,345824.00,9168.00,287002.00
1111004,111,2,6184,大豐有線電視股份有限公司,其他,2.03,10.0000,994351.00,365867.00,-3829.00,301262.00
